"CMPLNT_NUM","ADDR_PCT_CD","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","HOUSING_PSA","JURISDICTION_CODE","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PATROL_BORO","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","New Georeferenced Column"
"299996333","101","QUEENS","01/24/2025","10:00:00","01/24/2025","10:10:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","01/24/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1042942","154220","40.589791","-73.788678","(40.589791, -73.788678)","POINT (-73.788678 40.589791)"
"310145796","101","QUEENS","07/23/2025","03:46:00","07/23/2025","05:41:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","07/24/2025","(null)","UNKNOWN","UNKNOWN","U",,"65+","WHITE","M","1046831","156037","40.594751","-73.774658","(40.594751, -73.774658)","POINT (-73.774658 40.594751)"
"304255746","101","QUEENS","04/05/2025","22:20:00","04/05/2025","22:25:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","04/05/2025","(null)","25-44","BLACK","F",,"45-64","BLACK","M","1052289","156208","40.595181","-73.755004","(40.595181, -73.755004)","POINT (-73.755004 40.595181)"
"306124965","101","QUEENS","12/25/2024","23:20:00","12/26/2024","00:20:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","OPPOSITE OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","05/09/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","M","1053231","160665","40.607405","-73.751566","(40.607405, -73.751566)","POINT (-73.751566 40.607405)"
"308594327","113","QUEENS","06/25/2025","02:27:00","06/25/2025","02:29:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","(null)","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","06/25/2025","(null)","UNKNOWN","UNKNOWN","U",,"25-44","BLACK","F","1049068","187824","40.68197289","-73.7662999","(40.68197289, -73.7662999)","POINT (-73.7662999 40.68197289)"
"307408590","101","QUEENS","05/30/2025","16:00:00","06/02/2025","06:35:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","(null)","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","CONSTRUCTION SITE","06/02/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","D","1049611","156432","40.59580489","-73.76464623","(40.59580489, -73.76464623)","POINT (-73.76464623 40.59580489)"
"300755972","113","QUEENS","01/25/2025","01:00:00","01/25/2025","01:05:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","02/08/2025","(null)","(null)","(null)","(null)",,"18-24","ASIAN / PACIFIC ISLANDER","M","1050680","188271","40.683198","-73.760483","(40.683198, -73.760483)","POINT (-73.760483 40.683198)"
"313132321","116","QUEENS","09/18/2025","13:38:00","09/18/2025","13:40:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","09/18/2025","(null)","UNKNOWN","UNKNOWN","U",,"UNKNOWN","UNKNOWN","E","1049129","181500","40.664624","-73.766139","(40.664624, -73.766139)","POINT (-73.766139 40.664624)"
"312865200","113","QUEENS","09/14/2025","03:00:00","09/14/2025","03:05:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","(null)","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","STREET","09/14/2025","(null)","UNKNOWN","UNKNOWN","M",,"25-44","ASIAN / PACIFIC ISLANDER","M","1049730","187972","40.68237424","-73.76391165","(40.68237424, -73.76391165)","POINT (-73.76391165 40.68237424)"
"301470492","113","QUEENS","02/16/2025","07:00:00","02/16/2025","07:33:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","02/21/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","M","1051697","190399","40.689032","-73.756793","(40.689032, -73.756793)","POINT (-73.756793 40.689032)"
"311905636","101","QUEENS","08/25/2025","00:12:00","08/26/2025","00:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","OTHER","08/26/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","BLACK","M","1052910","160200","40.606132","-73.752727","(40.606132, -73.752727)","POINT (-73.752727 40.606132)"
"310777433","103","QUEENS","08/06/2025","00:59:00",,"(null)","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE - APT. HOUSE","08/06/2025","(null)","25-44","BLACK","F",,"25-44","BLACK","M","1049192","198902","40.712389","-73.765746","(40.712389, -73.765746)","POINT (-73.765746 40.712389)"
"304445063","103","QUEENS","03/18/2025","02:49:00","03/18/2025","03:32:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","FRONT OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE-HOUSE","04/09/2025","(null)","(null)","(null)","(null)",,"65+","BLACK","M","1049856","200394","40.716478","-73.763335","(40.716478, -73.763335)","POINT (-73.763335 40.716478)"
"305926514","116","QUEENS","05/06/2025","13:40:00","05/06/2025","14:09:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","05/06/2025","(null)","25-44","BLACK HISPANIC","M",,"25-44","BLACK HISPANIC","F","1052951","182660","40.667781","-73.752353","(40.667781, -73.752353)","POINT (-73.752353 40.667781)"
"311508494","101","QUEENS","08/18/2025","15:00:00","08/19/2025","10:00:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","08/20/2025","(null)","UNKNOWN","UNKNOWN","M",,"65+","WHITE HISPANIC","M","1048909","160353","40.606581","-73.767137","(40.606581, -73.767137)","POINT (-73.767137 40.606581)"
"312926149","105","QUEENS","08/17/2025","04:01:00","08/17/2025","04:06:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","HOTEL/MOTEL","09/15/2025","(null)","UNKNOWN","UNKNOWN","M",,"UNKNOWN","UNKNOWN","D","1058661","198871","40.712228","-73.731591","(40.712228, -73.731591)","POINT (-73.731591 40.712228)"
"308793651","105","QUEENS","06/08/2025","14:36:00","06/08/2025","14:36:00","COMPLETED","(null)",,"97","OTHER","114","FELONY","REAR OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","RESIDENCE-HOUSE","06/29/2025","(null)","(null)","(null)","(null)",,"25-44","ASIAN / PACIFIC ISLANDER","M","1065206","208077","40.737439","-73.70787","(40.737439, -73.70787)","POINT (-73.70787 40.737439)"
"308383756","101","QUEENS","12/16/2024","05:56:00",,"(null)","COMPLETED","(null)",,"97","OTHER","114","FELONY","INSIDE","ARSON","(null)","PATROL BORO QUEENS SOUTH","264","ARSON, MOTOR VEHICLE 1 2 3 & 4","RESIDENCE - APT. HOUSE","06/20/2025","(null)","(null)","(null)","(null)",,"UNKNOWN","UNKNOWN","D","1054851","159084","40.603054","-73.745749","(40.603054, -73.745749)","POINT (-73.745749 40.603054)"
"306613146","105","QUEENS","05/17/2025","22:30:00","05/17/2025","23:00:00","COMPLETED","(null)",,"0","N.Y. POLICE DEPT","114","FELONY","REAR OF","ARSON","(null)","PATROL BORO QUEENS SOUTH","263","ARSON 2,3,4","BAR/NIGHT CLUB","05/18/2025","(null)","UNKNOWN","BLACK","M",,"UNKNOWN","UNKNOWN","D","1059048","191407","40.691739","-73.730276","(40.691739, -73.730276)","POINT (-73.730276 40.691739)"
